,top1,top3,top5,top10,top20,top50
10,0.997,0.825,0.741,0.621,0.425,0.231
20,0.999,0.858,0.79,0.691,0.465,0.247
30,0.999,0.88,0.822,0.74,0.492,0.257
40,1,0.894,0.841,0.77,0.506,0.262
50,1,0.9,0.852,0.788,0.511,0.264
100,1,0.929,0.895,0.849,0.536,0.273
200,1,0.95,0.927,0.895,0.552,0.278
500,1,0.975,0.965,0.944,0.57,0.284
4_4,0.997,0.892,0.841,0.781,0.513,0.267
4_7,0.998,0.896,0.849,0.789,0.517,0.267
6_6,0.999,0.897,0.847,0.777,0.514,0.266
6_11,0.999,0.901,0.855,0.789,0.511,0.265
8_8,0.999,0.899,0.849,0.785,0.51,0.265
8_15,1,0.9,0.852,0.788,0.511,0.264
12_12,1,0.907,0.859,0.794,0.515,0.266
16_16,0.998,0.902,0.851,0.783,0.508,0.263