,Study ID,Study Summary,Sample Source,Species,disease
49,ST000548,"The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from “The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate” by Ward and colleagues, published in Cancer Cell in 2010 (Ward et al., 2010). The experiments that will be replicated are those reported in Figures 2, 3 and 5. Ward and colleagues demonstrate the mutations in isocitrate dehydrogenase 2 (IDH2), commonly found in acute myeloid leukemia (AML), abrogate the enzyme’s wild-type activity and confer to the mutant neomorphic activity that produces the oncometabolite 2-hydroxyglutarate (2-HG) (Figures 2 and 3). They then show that elevated levels of 2-HG are correlated with mutations in IDH1 and IDH2in AML patient samples (Figure 5). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published by eLife.","['HEK cells', 'Mononuclear cells']",Human,Cancer
50,ST000563,Methods of stool fixation (RNAlater versus ethanol versus no fixative by freezing) influence the ability of metabolite recovery and discovery,Feces,Human,
51,ST000603,"Interstitial cystitis (IC)/bladder pain syndrome (BPS) is a clinical condition that manifests as a sensory hypersensitivity of unknown cause and is characterized by urinary frequency, bladder discomfort, and pelvic pain. In the present volatolomic study, we have analyzed the VOCs unique to urine specimens obtained from interstitial cystitis patients, in compassion to healthy controls.This is the novel finding from comprehensive and unbiased metabolomics analysis that urinary menthol is decreased in urine specimens from IC patients, and that the reduced menthol level in IC is potentially linked to the chronic inflammation, which is often observed in IC patients",Urine,Human,Interstitial cystitis
52,ST000622,"Microalgae are proposed as feedstock organisms useful for producing biofuels and co-products. However, several limitations must be overcome before algae-based production is economically feasible. Among these is the ability to induce lipid accumulation and storage without affecting biomass yield. To overcome this barrier, a chemical genetics approach was employed in which 43,783 compounds were screened against Chlamydomonas reinhardtii and 243 compounds were identified that increase triacylglyceride (TAG) accumulation without terminating growth. Identified compounds were classified by structural similarity and 15 selected for secondary analyses addressing impacts on growth fitness, photosynthetic pigments, and total cellular protein and starch concentrations. TAG accumulation was verified using GC-MS quantification of total fatty acids and targeted TAG and galactolipid (GL) measurements using LC-MRM/MS. These results demonstrated TAG accumulation does not necessarily proceed at the expense of GL. Untargeted metabolite profiling provided important insights into pathway shifts due to 5 different compound treatments and verified the anabolic state of the cells with regard to the oxidative pentose phosphate pathway, Calvin cycle, tricarboxylic acid cycle and amino acid biosynthetic pathways. Metabolite patterns were distinct from nitrogen starvation and other abiotic stresses commonly used to induce oil accumulation in algae. The efficacy of these compounds was also demonstrated in 3 other algal species. These lipid inducing compounds offer a valuable set of tools for delving into the biochemical mechanisms of lipid accumulation in algae and a direct means to improve algal oil content independent of the severe growth limitations associated with nutrient deprivation.",Algae,Chlamydomonas,
53,ST000658,"In this study we have compared the metabolic effects of conventional soybean oil to those of genetically modified Plenish soybean oil, that is low in linoleic acid and high in oleic acid. This work builds on our previous study showing that soybean oil, rich in polyunsaturated fats, is more obesogenic and diabetogenic than coconut oil, rich in saturated fats (PMID: 26200659). Here, in order to elucidate the mechanisms responsible for soybean oil induced obesity, we have performed the first ever metabolomics (in plasma and liver) and proteomics on the livers of mice fed the two soybean oil diets (plus those fed a high coconut oil and Viv chow diet). Our results show that the new high oleic soybean oil induces less obesity and adiposity than conventional soybean oil, but can cause hepatomegaly and liver dysfunction. Metabolomic analysis reveals that the hepatic and plasma metabolic profiles differ considerably between the two soybean oils. Hepatic C18 oxylipin metabolites of omega-6 (ω6) and omega-3 (ω3) fatty acids (linoleic and α-linolenic acid, respectively) in the cytochrome P450/soluble epoxide hydrolase pathway were found to correlate positively with obesity.","['Blood', 'Liver']",Mouse,Obesity
54,ST000660,"In this study we have compared the metabolic effects of conventional soybean oil to those of genetically modified Plenish soybean oil, that is low in linoleic acid and high in oleic acid. This work builds on our previous study showing that soybean oil, rich in polyunsaturated fats, is more obesogenic and diabetogenic than coconut oil, rich in saturated fats (PMID: 26200659). Here, in order to elucidate the mechanisms responsible for soybean oil induced obesity, we have performed the first ever metabolomics (in plasma and liver) and proteomics on the livers of mice fed the two soybean oil diets (plus those fed a high coconut oil and Viv chow diet). Our results show that the new high oleic soybean oil induces less obesity and adiposity than conventional soybean oil, but can cause hepatomegaly and liver dysfunction. Metabolomic analysis reveals that the hepatic and plasma metabolic profiles differ considerably between the two soybean oils. Hepatic C18 oxylipin metabolites of omega-6 (ω6) and omega-3 (ω3) fatty acids (linoleic and α-linolenic acid, respectively) in the cytochrome P450/soluble epoxide hydrolase pathway were found to correlate positively with obesity.","['Blood', 'Liver']",Mouse,Obesity
55,ST000740,"Determine the capacity of control and experimental cells to convert stearate to oleate. Determine free 13C stearate/oleate or that in PC, PE and PI.",Tumor cells,Human,Cancer
56,ST000747,"Mice were inoculated with human stool samples from donors in a high gene copy number group or low gene copy number group. After several weeks, cecal contents were collected and frozen at -80. Aliquots were made on dry ice and then stored at -80 until shipment on dry ice. Analysis of short chain fatty acids (SCFA) of cecal content was performed.",Intestine,Mouse,
57,ST000829,"Mice were injected with vehicle or STZ to induce diabetes. After 12 weeks, retinas and plasma were harvested.","['Blood', 'Retina']",Mouse,Diabetes
58,ST000832,"Detachments were created in adult male Brown-Norway rats (300?400 g; Charles River Laboratories, Wilmington, MA). Briefly, rodents were anesthetized with a 50:50 mix of ketamine/xylazine, and pupils were dilated with topical phenylephrine (2.5%) and tropicamide (1%). A 20-gauge microvitreoretinal blade was used to create a sclerotomy 2 mm posterior to the limbus, carefully avoiding lens damage. A subretinal injector (Glaser, 32-gauge tip; BD Ophthalmic Systems, Franklin Lakes, NJ) was introduced through the sclerotomy into the vitreous cavity and then through a peripheral retinotomy into the subretinal space. Sodium hyaluronate (10 mg/mL, Healon OVD; Abbott Medical Optics, Uppsala, Sweden) was slowly injected to detach the neurosensory retina from the underlying RPE. In all experiments, approximately one third to one half of the neurosensory retina was detached. Detachments were created in the left eye. The right eye served as the control, with all the steps of the procedure performed except for introduction of the subretinal injector and injection of the sodium hyaluronate. At varying intervals after creation of the detachment, the animals were euthanatized, and the eyes were enucleated.The retina was then dissected away from the retinal pigment epithelium taking just the detached portion in those eyes experimentally detached. All experiments were performed in accordance with the ARVO Statement for the Use of Animals in Ophthalmic and Vision Research and the guidelines established by the University Committee on Use and Care of Animals of the University of Michigan.",Retina,Rat,
59,ST000833,"6.5 X 10^6 cells were plated in 10 cm Tissue Culture dishes and allowed to recover overnight at 37 degrees and 5% CO2. In the am, supernatant was removed, and 12 mL of medium containing either Murine Norovirus-1 (MNV) at an MOI=5 or medium containing a v/v match of mock lysate was added to the cells. Plates were rocked on ice for 1 hour, then cells were washed 3X with cold DPBS++, and plain medium as added to cells. Plates were then incubated for 7.5 hours at 37 degrees and 5% CO2. Cells were washed with 12 mL of 150 mM Ammonium Acetate, swirled 8 times, and immediately quenched with liquid nitrogen. Cells were then frozen at -80 degrees.",Cultured cells,Mouse,
60,ST000834,"SS rats were surgically implanted with a chronic servo-control cuff, the purpose of which is to maintain normal pressure to the left kidney while the right kidney is exposed to high blood pressure. After 7 days of high salt treatment, which induces high blood pressure in the SS rat, rats were anesthetized with pentobarbital, kidneys were flushed and removed. The renal medulla was separated from the cortex using scissors, and the renal medullas were frozen in liquid nitrogen and stored at -80 C.",Kidney,Rat,Hypertension
61,ST000878,"Autosomal Dominant Polycystic Kidney Disease (ADPKD; MIM ID's 173900, 601313, 613095) is estimated to affect almost 1/1000 and is the most common genetic cause of end stage renal disease (Torres et al., 2007). While advances have been made in slowing the progression of some other forms of chronic kidney disease, standard treatments have not reduced the need for renal replacement therapy in ADPKD (Spithoven et al., 2014). Unfortunately, several experimental interventions also have recently failed to show significant benefit in slowing the rate of functional decline (Serra et al., 2010; Walz et al., 2010; Schrier et al., 2014; Torres et al., 2014), and the only positive study reported very modest effects (Torres et al., 2012). These findings suggest new treatment strategies are required. A central dogma of molecular genetics is that discovery of the causative genes will lead to identification of key pathways and potential targets for intervention. In the case of ADPKD, the two genes mutated in the disorder, PKD1 and PKD2, were identified almost 20 years ago and yet their functions remain poorly understood. The PKD1 gene product, polycystin-1 (PC1), encodes a large membrane protein that requires the PKD2 gene product, polycystin-2 (PC2), for its trafficking to the primary cilium where the two are thought to form a receptor channel complex (Kim et al., 2014; Cai et al., 2014). What the complex senses and what it signals remains controversial. The primary cilium has emerged as a key player in the pathogenesis of PKD as mutations in dozens of different genes that encode either essential ciliary components or factors in ciliary signaling pathways result in PKD. A recent report suggests that the relationship between the polycystin complex and ciliary signaling is complicated, however.While ablation of primary cilia by mutation of core ciliary components results in cysts, these same perturbations done in the setting of Pkd1 or Pkd2 inactivation results in significant attenuation of cystic disease (Ma et al., 2013). These data suggest that the polycystin complex provides a suppressive signal for a novel, cilia-dependent growth-promoting pathway that is independent of MAPK/ERK, mTOR, or cAMP pathways, three effector pathways previously implicated as major drivers of cyst growth. The identities of the growth-promoting and growth-inhibiting pathways remain unknown. We have taken a systems-based approach to study Pkd1 gene function. Building on our previous work identifying markedly different outcomes in animals with induced Pkd1 inactivation before or after P12 and correlating this susceptibility with metabolic status (Piontek et al., 2007; Menezes et al., 2012), we now show that female sex is partially protective in adult-induced Pkd1 inactivation, that sex differences in metabolic status may account for this effect, and that cells lacking Pkd1 have abnormal fatty acid oxidation. Finally, manipulating diet in Pkd1 mouse models, we demonstrate a positive correlation between lipid content in mouse chow and cystic kidney disease severity. Our results therefore suggest that abnormal lipid metabolism is an intrinsic component of PKD and an important modifier of disease progression.",Kidney,Mouse,Kidney disease
62,ST000884,"Pyridoxal 5'-phosphate (PLP) is an essential cofactor for nearly 60 Escherichia coli enzymes but is a highly reactive molecule that is toxic in its free form. How PLP levels are regulated and how PLP is delivered to target enzymes are still open questions. The COG0325 protein family belongs to the fold-type III class of PLP enzymes and binds PLP but has no known biochemical activity although it occurs in all kingdoms of life. Various pleiotropic phenotypes of the E. coli COG0325 (yggS) mutant have been reported, some of which were reproduced and extended in this study. Comparative genomic, genetic and metabolic analyses suggest that these phenotypes reflect an imbalance in PLP homeostasis. The E. coli yggS mutant accumulates the PLP precursor pyridoxine 5'-phosphate (PNP) and is sensitive to an excess of pyridoxine but not of pyridoxal. The pyridoxine toxicity phenotype is complemented by the expression of eukaryotic yggS orthologs. It is also suppressed by the presence of amino acids, specifically isoleucine, threonine and leucine, suggesting the PLP-dependent enzyme transaminase B (IlvE) is affected. These genetic results lay a foundation for future biochemical studies of the role of COG0325 proteins in PLP homeostasis.",Bacterial cells,E. coli,
63,ST000889,"Qualitative metabolomics study on leaves, roots and acorns from Quercus ilex plantlets. We analyzed polar(metanol:water) and apolar (chloroform) fractions.",Plant,Oak tree,
64,ST000910,"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a disabling illness characterized by six months or more of unexplained profound fatigue with post-exertional malaise, sleep abnormalities, cognitive dysfunction and autonomic disturbances. Focusing on the pathogenesis of central nervous system abnormalities in ME/CFS, we pursued metabolomics analysis of cerebrospinal fluid (CSF) in 32 ME/CFS cases, 40 subjects with multiple sclerosis (MS), another fatiguing illness, and 19 healthy subjects with no neurological disease (ND). MS/ND subjects were frequency matched for age and sex to ME/CFS subjects. Three untargeted metabolomic assays for primary metabolites, biogenic amines and complex lipids were performed with gas chromatography time-of-flight (GC-TOF) and liquid chromatography–tandem mass spectrometry (LC-MS/MS) yielding profiles for 525 known metabolites. Mannose was a cardinal biomarker in ME/CFS subjects with reduced levels in ME/CFS compared to both MS and ND subjects. Levels of acetylcarnitine were reduced in ME/CFS vs. MS subjects. The predictive power of metabolomic analysis for diagnosis of ME/CFS vs. ND was higher (cross-validated AUC 0.875; 95% CI: 0.726~0.949) than with cytokine analysis alone (cross-validated AUC 0.865; 95% CI: 0.673~0.952) and improved with integration of both metabolomics and cytokine analyses (cross-validated AUC 0.916; 95% CI: 0.791~0.969). Our findings confirm the biological basis of ME/CFS, and may enable new methods for diagnosis and insight into cognitive and autonomic disturbances in this syndrome.",Cerebrospinal fluid,Human,Chronic fatigue syndrome
65,ST000967,The mice serum samples were extracted and analyzed using broad spectrum GCMS for the identification of compounds distinguishing the groups.,Blood,Mouse,Antibiotic resistance
66,ST000968,"The purpose of this study is to determine how thiamine metabolites impact central metabolism in Auxenochlorella protothecoides when grown in the presence of glucose. We hypothesize that thiamine metabolites alleviate bottlenecks in the TCA cycle and gluconeogensis, thus allowing for greater starch production when they are present. Cells were grown in bioreactors: 3 control cultures with no thiamine metabolites, 3 cultures received thiamine, 3 recieved HMP, and 3 were grown on residual medium from another algae species - Chlorella sorokiniana. We suspect that this residual medium also contains thiamine metabolites. Samples were taken daily from each of these 12 cultures over a 5 day time course so that we can observe build-up of metabolites over time.",Cultured cells,Auxenochlorella,
67,ST000969,"The purpose of this study is to determine how thiamine metabolites impact central metabolism in Auxenochlorella protothecoides when grown in the presence of glucose. We hypothesize that thiamine metabolites alleviate bottlenecks in the TCA cycle and gluconeogensis, thus allowing for greater starch production when they are present. Cells were grown in bioreactors: 3 control cultures with no thiamine metabolites, 3 cultures received thiamine, 3 recieved HMP, and 3 were grown on residual medium from another algae species - Chlorella sorokiniana. We suspect that this residual medium also contains thiamine metabolites. Samples were taken daily from each of these 12 cultures over a 5 day time course so that we can observe build-up of metabolites over time.",Cultured cells,Auxenochlorella,
68,ST000979,"Antibiotic-associated gastrointestinal signs (AAGS) occur commonly in cats. Co-administration of synbiotics is associated with decreased AAGS in people, potentially due to stabilization of the fecal microbiome and metabolome. The purpose of this double-blinded randomized-controlled trial was to compare AAGS and the fecal microbiome and metabolome between healthy cats that received clindamycin with a placebo or synbiotic. Methods. 16 healthy domestic shorthair cats from a research colony were randomized to receive 150 mg clindamycin with either a placebo (8 cats) or commercially-available synbiotic (8 cats) once daily for 21 days with reevaluation 603 days thereafter. All cats ate the same diet. Food consumption, vomiting, and fecal score were recorded. Fecal samples were collected daily on the last 3 days of baseline (days 5-7), treatment (26-28), and recovery (631-633). Sequencing of 16S rRNA genes and gas chromatography time-of-flight mass spectrometry was performed. Clinical signs, alpha and beta diversity metrics, dysbiosis indices, proportions of bacteria groups, and metabolite profiles were compared between treatment groups using repeated measures ANOVAs. Fecal metabolite pathway analysis was performed. P<0.05 was considered significant. The Benjamini & Hochberg’s False Discovery Rate was used to adjust for multiple comparisons. Results. Median age was 6 and 5 years, respectively, for cats in the placebo and synbiotic groups. Hyporexia, vomiting, diarrhea, or some combination therein were induced in all cats. Though vomiting was less in cats receiving a synbiotic, the difference was not statistically significant. Bacterial diversity decreased significantly on days 26-28 in both treatment groups. Decreases in Actinobacteria (Bifidobacterium, Collinsella, Slackia), Bacteriodetes (Bacteroides), Lachnospiraceae (Blautia, Coprococcus, Roseburia), Ruminococcaceae (Faecilobacterium, Ruminococcus), and Erysipelotrichaceae (Bulleidia, [Eubacterium]) and increases in Clostridiaceae (Clostridium) and Proteobacteria (Aeromonadales, Enterobacteriaceae) occurred in both treatment groups, with incomplete normalization by days 631-633. Derangements in short-chain fatty acid, bile acid, indole, sphingolipid, benzoic acid, cinnaminic acid, and polyamine profiles also occurred, some of which persisted through the terminal sampling timepoint and differed between treatment groups. Discussion. Cats administered clindamycin commonly develop AAGS, as well as short- and long-term dysbiosis and alterations in fecal metabolites. Despite a lack of differences in clinical signs between treatment groups, significant differences in their fecal metabolomic profiles were identified. Further investigation is warranted to determine whether antibiotic-induced dysbiosis is associated with an increased risk of future AAGS or metabolic diseases in cats and whether synbiotic administration ameliorates this risk.",Feces,Cat,Antibiotic resistance
69,ST000981,"Antibiotic-associated gastrointestinal signs (AAGS) occur commonly in cats. Co-administration of synbiotics is associated with decreased AAGS in people, potentially due to stabilization of the fecal microbiome and metabolome. The purpose of this double-blinded randomized-controlled trial was to compare AAGS and the fecal microbiome and metabolome between healthy cats that received clindamycin with a placebo or synbiotic. Methods. 16 healthy domestic shorthair cats from a research colony were randomized to receive 150 mg clindamycin with either a placebo (8 cats) or commercially-available synbiotic (8 cats) once daily for 21 days with reevaluation 603 days thereafter. All cats ate the same diet. Food consumption, vomiting, and fecal score were recorded. Fecal samples were collected daily on the last 3 days of baseline (days 5-7), treatment (26-28), and recovery (631-633). Sequencing of 16S rRNA genes and gas chromatography time-of-flight mass spectrometry was performed. Clinical signs, alpha and beta diversity metrics, dysbiosis indices, proportions of bacteria groups, and metabolite profiles were compared between treatment groups using repeated measures ANOVAs. Fecal metabolite pathway analysis was performed. P<0.05 was considered significant. The Benjamini & Hochberg’s False Discovery Rate was used to adjust for multiple comparisons. Results. Median age was 6 and 5 years, respectively, for cats in the placebo and synbiotic groups. Hyporexia, vomiting, diarrhea, or some combination therein were induced in all cats. Though vomiting was less in cats receiving a synbiotic, the difference was not statistically significant. Bacterial diversity decreased significantly on days 26-28 in both treatment groups. Decreases in Actinobacteria (Bifidobacterium, Collinsella, Slackia), Bacteriodetes (Bacteroides), Lachnospiraceae (Blautia, Coprococcus, Roseburia), Ruminococcaceae (Faecilobacterium, Ruminococcus), and Erysipelotrichaceae (Bulleidia, [Eubacterium]) and increases in Clostridiaceae (Clostridium) and Proteobacteria (Aeromonadales, Enterobacteriaceae) occurred in both treatment groups, with incomplete normalization by days 631-633. Derangements in short-chain fatty acid, bile acid, indole, sphingolipid, benzoic acid, cinnaminic acid, and polyamine profiles also occurred, some of which persisted through the terminal sampling timepoint and differed between treatment groups. Discussion. Cats administered clindamycin commonly develop AAGS, as well as short- and long-term dysbiosis and alterations in fecal metabolites. Despite a lack of differences in clinical signs between treatment groups, significant differences in their fecal metabolomic profiles were identified. Further investigation is warranted to determine whether antibiotic-induced dysbiosis is associated with an increased risk of future AAGS or metabolic diseases in cats and whether synbiotic administration ameliorates this risk.",Feces,Cat,Antibiotic resistance
70,ST001034,"The goal of this study was to determine how the exometabolome of defense-elicited Arabidopsis suspension cells inhibits virulence gene expression and growth of a plant pathogenic bacterium Pseudomonas syringae. Arabidopsis T87 suspension cells were treated with the pathogen-associated molecular pattern elf26 or a DMSO-control treatment for six hours, then incubated in fresh media for one hour. The conditioned medium (exudate) was collected from each culture by centrifugation and 0.22 um filter to remove plant cells. These samples are designated T=6 mock and T=6 elf26 in our experimental design. We also prepared samples in the same manner from control-treated cells except without any pre-treatment time prior to one hour exudate production. These samples are labeled T=0 mock. A total of seven biological replicates of each treatment condition were analyzed, with each replicate prepared from cells grown in separate flasks. The exudates were prepared in four independent experiments performed on separate days (1 biological replicate from first experiment, 2 biological replicates from each of the 3 remaining experiments). Four samples of the culture medium, one from each of the four independent experiments, are included.",Plant,Arabidopsis,Bacterial infection
71,ST001117,"hamster brain samples, divided in 3 groups: torpor, arousal, control group were compared via metabolomics analysis",Brain,Hamster,
