,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
79,#80 73.1000@10.1531 MS1+,1,+,10.153066666666666,559287.6299429119,15923.44908935647,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.146933333333331,26371.70463341105,73.0999984741211,,,,,,,,,,,,,10.153183333333333,40533.04249528164,73.0999984741211,10.153116666666667,41525.22960199913,73.0999984741211,,,,,,,,,,,,,10.165733333333334,15978.085182349198,73.0999984741211,,,,10.140783333333331,27945.576151008245,73.0999984741211,10.184533333333333,32756.41415346669,73.0999984741211,10.1469,32324.168218279592,73.0999984741211,,,,,,,10.1469,72319.44255349817,73.0999984741211,,,,,,,10.153249999999998,91354.18301914111,73.0999984741211,,,,10.1906,33512.1926024734,73.0999984741211,,,,,,,,,,10.146983333333331,44889.04239719381,73.0999984741211,10.146966666666666,48533.95679603357,73.0999984741211,10.153283333333333,265271.4944182446,73.0999984741211,10.1531,454795.97628934594,73.0999984741211,10.178283333333331,218405.39808281595,73.0999984741211,10.17805,395999.8797831848,73.0999984741211,10.1468,282649.26485867094,73.0999984741211,10.146833333333332,212088.38210645568,73.0999984741211,10.153233333333333,191004.69138325995,73.0999984741211,10.147033333333331,444241.2956070554,73.0999984741211,10.159366666666669,525718.1281691286,73.0999984741211,10.146966666666666,679257.1004877473,73.0999984741211,10.14695,268139.4867786825,73.0999984741211,10.146883333333331,342834.1550971256,73.0999984741211,10.1533,319439.2163911378,73.0999984741211,10.153066666666666,559287.6299429119,73.0999984741211,10.165683333333334,233214.549427032,73.0999984741211,10.159466666666669,295675.1686106986,73.0999984741211,10.1595,456678.6508767536,73.0999984741211,10.16575,554793.5682880926,73.0999984741211,,,,10.14695,327062.3644063175,73.0999984741211,1.5108616185267991
46,#47 156.0000@13.1620 MS1+,1,+,13.162016666666666,613996.1067337546,19995.112367755184,156.0,,,0.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.155833333333334,935537.1016742334,156.0,13.1619,514664.1258431432,156.0,13.180816666666669,1311057.5722417473,156.0,13.174333333333331,1291776.0,156.0,13.16185,893800.219902291,156.0,13.161883333333334,605575.1319366426,156.0,13.162033333333332,929834.7709596748,156.0,13.162083333333332,280232.87161590473,156.0,13.168166666666666,628088.4608424441,156.0,13.162016666666666,613996.1067337546,156.0,13.15575,534669.2178058347,156.0,13.16195,499875.6397557146,156.0,13.1621,582528.9857671022,156.0,13.161866666666668,500491.4773927932,156.0,13.180733333333333,867659.9485953222,156.0,13.162016666666666,1135922.054921887,156.0,13.16205,1463312.0175981473,156.0,13.162033333333332,1316864.0,156.0,,,,13.15575,491546.2148103544,156.0,1.513756717649642
26,#27 73.1000@18.9107 MS1+,1,+,18.91065,919513.2629786988,2331.2304583987425,73.0999984741211,,,0.0,76.0,18.916933333333336,603335.0668133711,73.0999984741211,18.91068333333333,598132.8951021164,73.0999984741211,18.92305,358381.4991954102,73.0999984741211,18.916866666666667,630162.0555878759,73.0999984741211,18.90425,466717.8748625178,73.0999984741211,18.90445,413621.2252915157,73.0999984741211,18.910616666666662,582164.6198974038,73.0999984741211,18.9106,621186.5392277371,73.0999984741211,18.929466666666663,552607.4636896201,73.0999984741211,18.92296666666667,558260.3051561073,73.0999984741211,18.923016666666665,442842.95200093824,73.0999984741211,18.9232,620458.2337030296,73.0999984741211,18.923066666666667,492882.7212988767,73.0999984741211,18.910633333333333,645850.6994456663,73.0999984741211,18.9419,186991.5378048141,73.0,18.9294,500514.4220701748,73.0999984741211,18.923016666666665,604577.2929176284,73.0999984741211,18.923033333333333,600844.9037559994,73.0999984741211,18.923016666666665,517193.431922353,73.0999984741211,18.91055,515420.064157708,73.0999984741211,18.90438333333333,563611.3360643697,313.29998779296875,18.898016666666667,546514.2303529754,313.29998779296875,18.91065,728064.0,313.29998779296875,18.904366666666668,704743.0154277566,313.29998779296875,18.898116666666667,681792.6312394709,313.29998779296875,18.89795,555987.876758724,73.0999984741211,18.89795,715579.9281247716,313.29998779296875,18.898,836832.90451303,313.29998779296875,18.91058333333334,422086.29919408273,313.29998779296875,18.910616666666662,475427.2062015782,73.0999984741211,18.910466666666668,718227.6886395129,73.0999984741211,18.8981,619197.9170781602,73.0999984741211,18.910533333333333,687398.4285689006,313.29998779296875,18.89806666666667,621315.244554369,313.29998779296875,18.92295,615178.5621127214,313.29998779296875,18.9106,563815.4242141384,313.29998779296875,18.910616666666662,463054.0344329688,313.29998779296875,18.90428333333333,466273.8103584086,313.29998779296875,18.90428333333333,559887.5534540867,73.0999984741211,18.904333333333334,1049196.1178114435,313.29998779296875,18.91675,502807.0678937838,73.0999984741211,18.904366666666668,604887.6042814114,73.0999984741211,18.92941666666667,578268.4540840719,73.0999984741211,18.916933333333336,669204.049029859,73.0999984741211,18.8982,569472.0,73.0999984741211,18.904433333333333,660207.9878027355,73.0999984741211,18.904333333333334,755591.7151927612,73.0999984741211,18.904466666666668,796646.091193883,73.0999984741211,18.91065,919513.2629786988,73.0999984741211,18.91058333333334,578308.3703962694,73.0999984741211,18.9105,825192.8313322631,73.0999984741211,18.910516666666663,691040.8524331586,73.0999984741211,18.91068333333333,810048.4098279952,73.0999984741211,18.9042,682618.9583173494,73.0999984741211,18.929266666666667,848486.4116473085,73.0999984741211,18.9106,694100.409967218,73.0999984741211,18.9105,525444.2181471984,73.0999984741211,18.910433333333334,607086.2230813999,73.0999984741211,18.916916666666665,444639.0618028759,73.0999984741211,18.90438333333333,715883.5711059457,73.0999984741211,18.90445,1961472.0,73.0999984741211,18.90426666666667,1948672.0,73.0999984741211,18.916933333333336,1440768.0,73.0999984741211,18.9042,1736853.472259358,73.0999984741211,18.90423333333333,1792379.871225807,117.0999984741211,18.90425,1790425.305964896,73.0999984741211,18.910666666666668,2162141.274907236,73.0999984741211,18.90445,1990144.708408557,73.0999984741211,18.910533333333333,1547441.317821467,73.0999984741211,18.9044,1782579.2914062757,73.0999984741211,18.910633333333333,2107392.0,73.0999984741211,18.904316666666663,1477205.847993628,73.0999984741211,18.904466666666668,1985806.3555228245,73.0999984741211,18.90423333333333,1936799.2511054296,73.0999984741211,18.935616666666668,2210816.0,313.20001220703125,18.89813333333333,2036369.2847842516,73.0999984741211,18.89816666666667,1511424.0,73.0999984741211,18.89815,1719080.637119243,73.0999984741211,,,,18.90438333333333,1998619.1184636976,73.0999984741211,1.5151348882343485
200,#201 73.1000@15.2451 MS1+,1,+,15.245116666666666,41380.05201398104,1417.6006388082822,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2451,22756.924384189595,73.0999984741211,15.244916666666668,53177.21008601872,73.0999984741211,15.263833333333332,40988.07588837226,73.0999984741211,15.24485,31571.77541591681,73.0999984741211,15.244866666666669,49038.638514030026,73.0999984741211,15.2449,62516.25188355334,73.0999984741211,15.24505,59890.40816388739,73.0999984741211,15.2451,25879.0951923253,75.0,15.257433333333331,33314.42536645738,73.0999984741211,15.245033333333334,21656.734200676787,73.0999984741211,15.245033333333334,28132.48064960784,73.0999984741211,15.251216666666666,16491.50649532536,73.0999984741211,15.245116666666666,41380.05201398104,73.0999984741211,15.244883333333332,44994.2427066426,75.0,15.27,36902.565602507326,73.0999984741211,15.245033333333334,45026.27474260842,73.0999984741211,15.245066666666666,16908.2623656956,73.0999984741211,15.24505,21725.90730111886,73.0999984741211,,,,15.245033333333334,54720.82442233479,73.0999984741211,1.5157782698496118
219,#220 103.1000@11.7043 MS1+,1,+,11.704333333333333,24139.657202543945,593.7684008579769,103.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69835,11200.61551046172,73.0999984741211,11.704416666666669,34014.54505188549,103.0999984741211,11.723333333333333,21592.89559315036,103.0,11.704333333333333,24139.657202543945,103.0999984741211,11.704366666666669,28574.686731236816,103.0999984741211,11.7044,19591.145004984664,103.0999984741211,11.70455,22272.64635318009,103.0999984741211,11.69835,38673.08662582761,103.0999984741211,11.710683333333334,37824.0,103.0,11.704533333333334,25853.551671604637,103.0,11.698266666666669,30053.31676868805,103.0,11.704466666666669,24543.64933955312,103.0,11.704616666666668,47928.18636654831,103.0,11.704366666666669,33433.547227319075,103.0999984741211,11.717,18721.480964218947,103.0999984741211,11.704533333333334,21594.02538986832,103.0,11.704566666666668,14132.0,103.0999984741211,11.6983,14018.98104531302,103.0,,,,11.698266666666669,40000.81056596401,103.0999984741211,1.530441187623644
52,#53 75.1000@20.5119 MS1+,1,+,20.51185,22281.307530579277,72.3747686178265,75.0999984741211,,,0.0,123.0999984741211,20.51203333333334,29632.229129181596,73.0999984741211,20.49953333333333,25202.97131763576,75.0,20.51815,15544.324859400032,75.0,20.511966666666662,31236.764095273567,73.0999984741211,,,,20.499566666666663,19016.67602869647,75.0,20.499466666666667,22684.292710600566,75.0,20.49943333333333,46465.7748161956,73.0999984741211,20.5183,21548.23448017565,73.0999984741211,20.518083333333333,30646.827001235917,73.0999984741211,20.511866666666663,34709.41827876301,73.0999984741211,20.5183,19155.199090108945,75.0,20.518166666666666,16401.49987432582,75.0,20.50575,31719.6234216388,73.0999984741211,20.537,18185.2902741843,73.0,20.51825,20952.484576264706,75.0,20.518116666666668,28939.414789185656,75.0,20.511883333333333,25981.38007545963,75.0,20.51185,38491.28530983508,73.0999984741211,20.50565,34888.7278585023,73.0999984741211,,,,,,,,,,20.49948333333333,25624.811502537457,75.0,,,,20.4868,28083.882108214893,75.0,20.493066666666667,71409.18491609767,73.0999984741211,,,,,,,20.505716666666668,15157.046234468811,75.0,20.511816666666668,21418.20037413537,117.0999984741211,,,,20.49938333333333,46373.97221752253,73.0999984741211,20.486916666666666,21172.86506405007,73.0999984741211,20.51805,19938.09911228416,339.3999938964844,20.5057,26925.33267457504,73.0999984741211,20.505716666666668,30152.770403150644,75.0,,,,,,,20.49943333333333,63631.13778959401,73.0999984741211,20.51185,22281.307530579277,75.0999984741211,,,,20.524516666666667,24996.25476974994,73.0999984741211,20.51203333333334,9682.542880072106,117.0999984741211,20.493316666666665,65900.6923173347,73.0999984741211,20.49953333333333,20209.23483202016,73.0999984741211,20.49943333333333,16282.785215615077,117.0999984741211,20.499566666666663,15379.6099016933,75.0,,,,20.51195,11487.618965133326,73.0999984741211,20.5056,20925.213772499235,73.0999984741211,20.511883333333333,9225.586711025768,117.0999984741211,20.51203333333334,12271.867060331104,75.0,20.4993,10277.35814053801,117.0999984741211,20.524366666666666,30820.175287952414,73.0999984741211,20.5057,13950.18373951313,75.0,20.511866666666663,12038.901316124977,75.0,20.50553333333333,8990.270826390484,339.3999938964844,20.505766666666663,29577.03967955627,73.0999984741211,20.49948333333333,15188.194298689254,75.0,20.49955,990063.325254036,73.0999984741211,20.49938333333333,990340.2040611668,73.0999984741211,20.505783333333333,542808.2409638884,73.0999984741211,20.4993,788652.2389967665,75.0,20.493066666666667,779488.2741405233,73.0999984741211,20.493099999999995,686805.0287903189,75.0,20.4995,931927.7325607572,73.0999984741211,20.4933,803160.5569614966,75.0,20.49938333333333,529694.3254144283,75.0,20.493233333333333,703885.0708169299,73.0999984741211,20.493233333333333,134586.22147005695,73.0999984741211,20.486916666666666,370868.4920875083,73.0999984741211,20.493316666666665,688259.8957112359,75.0,20.49308333333333,721390.0547518986,73.0999984741211,20.524466666666665,1257730.5455108653,73.0999984741211,20.493233333333333,856474.0000659018,73.0999984741211,20.487016666666666,545616.4462978027,73.0999984741211,20.49325,611437.6486503393,75.0,,,,20.493233333333333,744554.6683764486,75.0,1.5342591136887331
192,#193 73.1000@21.9882 MS1+,1,+,21.98815,47029.27370844316,3366.6061940511054,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9882,11653.995419722489,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.982066666666665,25281.668667561786,73.0999984741211,22.00065,34459.84919806532,73.0999984741211,22.00705,25656.34603710838,217.0,21.994316666666663,29824.39560446516,73.0999984741211,21.99435,33245.60634460731,73.0999984741211,21.981866666666665,19632.65478007228,75.0,21.975766666666665,41388.740385719546,73.0999984741211,21.99458333333333,42352.430957723904,73.0999984741211,21.98815,47029.27370844316,73.0999984741211,21.98825,62708.95446418732,73.0999984741211,21.982000000000003,48264.949441465,73.0999984741211,21.98193333333333,40978.47621036007,73.0999984741211,21.98208333333333,24171.38180430685,73.0999984741211,21.98183333333333,31112.628824486863,73.0999984741211,22.000716666666666,70909.37281277572,73.0999984741211,21.97573333333333,45304.21672568983,73.0999984741211,21.982033333333334,23220.976473264083,73.0999984741211,21.982016666666667,39894.26363131663,73.0999984741211,,,,21.97573333333333,37618.934905130736,73.0999984741211,1.5343832701465363
218,#219 73.1000@26.8487 MS1+,1,+,26.8487,34448.03292301466,1865.2745373424168,73.0999984741211,,,0.0,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.848683333333334,24985.52156536118,73.0999984741211,26.84225,37973.1615155614,73.0999984741211,26.854916666666668,31865.727009540744,117.0999984741211,26.84218333333333,29395.350973933004,117.0999984741211,26.8422,48337.84343572508,73.0999984741211,26.842233333333333,31217.17994734971,73.0999984741211,26.84238333333333,48784.54282706714,73.0999984741211,26.84243333333333,36649.69425903814,73.0999984741211,26.854766666666663,29439.79492457013,73.0999984741211,26.84863333333333,23152.888064462342,73.0999984741211,26.84861666666667,19956.362294811755,117.0999984741211,26.84855,18797.4443766482,117.0999984741211,26.8487,34448.03292301466,73.0999984741211,26.842216666666666,23991.91344150284,73.0999984741211,26.86733333333333,35286.62687044992,73.0999984741211,26.836116666666666,22295.328249298156,73.0999984741211,26.84865,12544.656645687444,73.0999984741211,26.84863333333333,15084.305247011042,117.0999984741211,,,,26.842366666666667,26548.66730341618,73.0999984741211,1.5463067394151373
